2019-09-27 12:03:48.345 | SUCCESS  | __main__:main:85 - RESP: success
2019-09-27 12:03:49.148 | INFO     | __main__:main:172 - Stock market cap percent
class StockMarketCapPercent { Sort=559, Code=1786, Name=科妍, Percent=0.0130% }
class StockMarketCapPercent { Sort=208, Code=1789, Name=神隆, Percent=0.0582% }
class StockMarketCapPercent { Sort=117, Code=1802, Name=台玻, Percent=0.1065% }
class StockMarketCapPercent { Sort=879, Code=1805, Name=寶徠, Percent=0.0024% }
class StockMarketCapPercent { Sort=656, Code=1806, Name=冠軍, Percent=0.0089% }
class StockMarketCapPercent { Sort=203, Code=1808, Name=潤隆, Percent=0.0596% }
class StockMarketCapPercent { Sort=726, Code=1809, Name=中釉, Percent=0.0071% }
class StockMarketCapPercent { Sort=657, Code=1810, Name=和成, Percent=0.0088% }
class StockMarketCapPercent { Sort=694, Code=1817, Name=凱撒衛, Percent=0.0080% }
class StockMarketCapPercent { Sort=388, Code=1902, Name=台紙, Percent=0.0252% }
class StockMarketCapPercent { Sort=382, Code=1903, Name=士紙, Percent=0.0259% }
class StockMarketCapPercent { Sort=197, Code=1904, Name=正隆, Percent=0.0612% }
class StockMarketCapPercent { Sort=303, Code=1905, Name=華紙, Percent=0.0347% }
class StockMarketCapPercent { Sort=760, Code=1906, Name=寶隆, Percent=0.0059% }
class StockMarketCapPercent { Sort=199, Code=1907, Name=永豐餘, Percent=0.0603% }
class StockMarketCapPercent { Sort=231, Code=1909, Name=榮成, Percent=0.0516% }
class StockMarketCapPercent { Sort=17, Code=2002, Name=中鋼, Percent=1.1456% }
class StockMarketCapPercent { Sort=184, Code=2006, Name=東和鋼鐵, Percent=0.0655% }
class StockMarketCapPercent { Sort=695, Code=2007, Name=燁興, Percent=0.0080% }
class StockMarketCapPercent { Sort=704, Code=2008, Name=高興昌, Percent=0.0078% }
class StockMarketCapPercent { Sort=590, Code=2009, Name=第一銅, Percent=0.0115% }
class StockMarketCapPercent { Sort=441, Code=2010, Name=春源, Percent=0.0208% }
class StockMarketCapPercent { Sort=475, Code=2012, Name=春雨, Percent=0.0184% }
class StockMarketCapPercent { Sort=536, Code=2013, Name=中鋼構, Percent=0.0150% }
class StockMarketCapPercent { Sort=254, Code=2014, Name=中鴻, Percent=0.0448% }
class StockMarketCapPercent { Sort=124, Code=2015, Name=豐興, Percent=0.0999% }
class StockMarketCapPercent { Sort=713, Code=2017, Name=官田鋼, Percent=0.0075% }
class StockMarketCapPercent { Sort=613, Code=2020, Name=美亞, Percent=0.0106% }
class StockMarketCapPercent { Sort=629, Code=2022, Name=聚亨, Percent=0.0100% }
class StockMarketCapPercent { Sort=222, Code=2023, Name=燁輝, Percent=0.0543% }
class StockMarketCapPercent { Sort=858, Code=2024, Name=志聯, Percent=0.0033% }
class StockMarketCapPercent { Sort=92, Code=2027, Name=大成鋼, Percent=0.1478% }
class StockMarketCapPercent { Sort=643, Code=2028, Name=威致, Percent=0.0094% }
class StockMarketCapPercent { Sort=454, Code=2029, Name=盛餘, Percent=0.0196% }
class StockMarketCapPercent { Sort=591, Code=2030, Name=彰源, Percent=0.0115% }
class StockMarketCapPercent { Sort=375, Code=2031, Name=新光鋼, Percent=0.0264% }
class StockMarketCapPercent { Sort=844, Code=2032, Name=新鋼, Percent=0.0037% }
class StockMarketCapPercent { Sort=884, Code=2033, Name=佳大, Percent=0.0023% }
class StockMarketCapPercent { Sort=314, Code=2034, Name=允強, Percent=0.0334% }
class StockMarketCapPercent { Sort=834, Code=2038, Name=海光, Percent=0.0040% }
class StockMarketCapPercent { Sort=61, Code=2049, Name=上銀, Percent=0.2478% }
class StockMarketCapPercent { Sort=128, Code=2059, Name=川湖, Percent=0.0983% }
class StockMarketCapPercent { Sort=528, Code=2062, Name=橋椿, Percent=0.0155% }
class StockMarketCapPercent { Sort=622, Code=2069, Name=運錩, Percent=0.0102% }
class StockMarketCapPercent { Sort=123, Code=2101, Name=南港, Percent=0.1004% }
class StockMarketCapPercent { Sort=496, Code=2102, Name=泰豐, Percent=0.0174% }
class StockMarketCapPercent { Sort=193, Code=2103, Name=台橡, Percent=0.0619% }
class StockMarketCapPercent { Sort=126, Code=2104, Name=國際中橡, Percent=0.0996% }
class StockMarketCapPercent { Sort=41, Code=2105, Name=正新, Percent=0.4485% }
class StockMarketCapPercent { Sort=159, Code=2106, Name=建大, Percent=0.0811% }
class StockMarketCapPercent { Sort=444, Code=2107, Name=厚生, Percent=0.0205% }
class StockMarketCapPercent { Sort=233, Code=2108, Name=南帝, Percent=0.0505% }
class StockMarketCapPercent { Sort=585, Code=2109, Name=華豐, Percent=0.0117% }
class StockMarketCapPercent { Sort=469, Code=2114, Name=鑫永銓, Percent=0.0186% }
